法规编号,区域,国家,是否在法规库,解读条数,解读ID,解读标题,解读类型,链接
EU 2021/1958,欧盟,欧盟,是,1,INS-2026-001,(EU) 2021/1958 ISA 智能速度辅助系统,文本解读,
EU 2019/2144,欧盟,欧盟,是,1,INS-2026-001,(EU) 2021/1958 ISA 智能速度辅助系统,文本解读,
EU 2023/1675,欧盟,欧盟,否（待补充）,1,INS-2026-001,(EU) 2021/1958 ISA 智能速度辅助系统,文本解读,
GB 1589,中国,中国,否（待补充）,1,INS-2026-002,GB 1589 修订解读：增加车外雷达、摄像头及其支架的尺寸豁免,修订解读,
GB 48001-2026,中国,中国,否（待补充）,1,INS-2026-003,GB 48001-2026《汽车车门把手安全技术要求》全文公开及解读,文本解读,
GB 15083,中国,中国,否（待补充）,1,INS-2026-004,GB 15083 座椅安全法规升级(新版意见稿):头枕加严、零重力座椅、鞭打测试与电动防夹,修订解读,
工信部50号令/54号令,中国,中国,否（待补充）,1,INS-2022-005,中欧汽车认证与法规比较,对比解读,
EU 2018/858,欧盟,欧盟,是,1,INS-2022-005,中欧汽车认证与法规比较,对比解读,
GB 4094,中国,中国,否（待补充）,1,INS-2026-006,车内开关与信号装置的中欧法规差异详解｜2026版,对比解读,
UN Regulation No. 121,欧洲,UN ECE,是,1,INS-2026-006,车内开关与信号装置的中欧法规差异详解｜2026版,对比解读,
动力蓄电池标牌标签及电子标识(征求意见稿),中国,中国,否（待补充）,1,INS-2026-007,动力电池标牌、标签及电子标识国标解读 | 中国的电池护照,对比解读,
EU 2023/1542,欧盟,欧盟,是,1,INS-2026-007,动力电池标牌、标签及电子标识国标解读 | 中国的电池护照,对比解读,
GB/T 46926-2025,中国,中国,否（待补充）,2,INS-2026-008,国内首个车载HUD法规正式发布：区域1和区域2要求详解,文本解读,
GB/T 46926-2025,中国,中国,否（待补充）,2,INS-2026-015,驾驶员前方视野校核指南 | GB 11562-2025,文本解读,
GB 11562-2025,中国,中国,否（待补充）,2,INS-2026-008,国内首个车载HUD法规正式发布：区域1和区域2要求详解,文本解读,
GB 11562-2025,中国,中国,否（待补充）,2,INS-2026-015,驾驶员前方视野校核指南 | GB 11562-2025,文本解读,
UN Regulation No. 176,欧洲,UN ECE,是,2,INS-2026-008,国内首个车载HUD法规正式发布：区域1和区域2要求详解,文本解读,
UN Regulation No. 176,欧洲,UN ECE,是,2,INS-2026-015,驾驶员前方视野校核指南 | GB 11562-2025,文本解读,
工业加速法案(提案),欧盟,欧盟,否（待补充）,1,INS-2026-009,欧盟工业加速法案速读：强制技术转让、25%低碳钢铝及70%本地零部件要求,文本解读,
GB 15083-2019,中国,中国,否（待补充）,1,INS-2026-010,汽车座椅法规升级比较 | GB 15083 与 ECE R17.12S,对比解读,
UN Regulation No. 17,欧洲,UN ECE,是,1,INS-2026-010,汽车座椅法规升级比较 | GB 15083 与 ECE R17.12S,对比解读,
